date,n_spike,n_up,n_down,mean_up,mean_down,spread,raw_ic,resid_ic
2025-07-03,15,8,7,-0.042055528653070995,0.0075112003557367135,-0.04956672900880771,-0.055308195476954036,-0.05025294871564307
2025-08-01,34,21,13,0.048201750115799115,0.060782225427076564,-0.012580475311277449,0.0054696891803487,0.004636070395076854
2025-09-01,13,7,6,0.06816621583599715,0.018736969602072384,0.049429246233924765,0.04404006447696885,0.03467304365909281
2025-09-30,13,8,5,0.05284930223918603,0.0628576495265258,-0.010008347287339764,0.0179601991958487,0.03780792357307237
2025-10-29,44,30,14,0.007407241355674058,0.007440245194349326,-3.300383867526832e-05,0.05121321417975349,0.10834276341898894
2025-11-27,24,17,7,0.06898776641181602,0.0007993161992447975,0.06818845021257122,0.1209401837570844,0.10816838169481964
2025-12-26,9,4,5,0.0280784694431315,0.009122618183753461,0.018955851259378036,-0.03781973537147661,-0.0402781538707279
2026-01-26,33,23,10,0.02189029909135982,-0.031526880662780976,0.0534171797541408,-0.050969946716654585,-0.04191703819954812
2026-02-24,94,57,37,-0.003498072636240908,-0.04586554138271991,0.042367468746479,0.2199788195564549,0.1788607313046809
2026-03-25,51,25,26,0.10231076394009918,0.03331572937171992,0.06899503456837926,0.1532086330287848,0.11825378945603464
2026-04-23,50,21,29,0.1623080258967628,0.031839603456141174,0.13046842244062162,0.20516290265748902,0.16783000760490577
2026-05-22,71,39,32,0.12006851733359238,-0.008187372313795148,0.12825588964738752,0.25173293241903866,0.2294149788604381
2026-06-22,65,34,31,-0.047453110984441854,0.002773278507180895,-0.05022638949162275,-0.07977964124320286,-0.04044972712144998
