date,l1_repro,gain,extra_turnover,conf,tic,proj_displacement,proj_displacement_k,l1_w0_wk,turnover_0,drift_gap,solver_opt,status_opt,solver_proj0,status_proj0,solver_projk,status_projk
2023-01-04,1.2481922547036564e-09,0.00024810126670359354,0.00014284408193548925,0.736979085925416,0.019479163437016642,0.022168386651278616,0.022168386651279307,0.004753680944745477,0.06350730717564201,4.5997028884003014e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-02-02,6.772871012272641e-10,1.4536100531392348e-05,0.00030840920932106997,0.9274823629151561,0.02709929451660624,0.032861057211334116,0.032861057210714806,0.004261641504364686,0.08163268801205956,3.6128050152390104e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-03-03,1.4790311262365715e-09,4.63969736743729e-06,3.810056142482254e-05,1.0,0.06271302067561398,0.018797293614483693,0.018797293766340793,0.0005368532514694392,0.06451278264063535,7.963566288040919e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-04-03,4.919354471478355e-10,2.2263234317735123e-05,-8.684976340206374e-05,0.7744449878252716,0.020977799513010865,0.010125262470911502,0.010125262200416521,0.0025119656711183984,0.06324685343197012,5.376876528909029e-20,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-05-02,1.4935007139642798e-09,-0.00019631212578302156,-0.0002735554589650413,1.0,0.04511473096046139,0.01836629676629959,0.01836629647628983,0.004179758437953854,0.0813066545933379,3.1230661084357843e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-05-31,4.483992243992195e-10,-9.422697371220875e-05,-0.00023769064380914362,1.0,0.045352185640090616,0.04481500604974251,0.044815006040946286,0.007107586392449605,0.10769998861771063,1.9835100966823427e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-06-29,1.923837172671109e-10,-3.296173088383241e-05,-0.00012145112877498532,1.0,0.06785773039251841,0.02244077748725131,0.022440777191665137,0.0027432692424039042,0.0821280948219022,1.2335998444570006e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-07-28,6.848088376828983e-08,1.1120325198649658e-05,4.889780706698876e-05,1.0,0.05622482939732093,0.004817400422128381,0.0048174004225032055,0.0007921492521559821,0.06402353392367924,6.669357481137902e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-08-28,3.774411908129092e-09,-6.79931912398953e-06,5.4585320623253e-05,1.0,0.05745119499866805,0.0038083736039751246,0.0038083735868579345,0.0009979177580218559,0.05823792717630652,6.965677669980304e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-09-26,5.469676130769342e-09,-2.036671226402397e-06,-2.1718651256948107e-05,1.0,0.061594055466637744,0.003082560727974213,0.003082560848117562,0.00040203324717443694,0.05545740569100002,5.558942587599852e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-10-25,2.4076508327496396e-09,-0.0001615937291987975,4.0110994165190594e-05,1.0,0.0916128638472181,0.026739233507035373,0.02669431148005258,0.006425634183674413,0.09155663433077493,1.0375107691433136e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-11-23,7.296786415357491e-10,4.09015863431094e-05,0.00012393744437620702,1.0,0.07969231795205674,0.009088389272133865,0.009088389268607958,0.0022421930659572158,0.06769280389104615,6.18365523346986e-21,ECOS,optimal,ECOS,optimal,ECOS,optimal
2023-12-22,1.4371213367866206e-10,5.293259854678685e-06,4.320375751054595e-05,1.0,0.1005103920823952,0.009612446442829464,0.009612446434535227,0.0004482296562442152,0.06588049369255553,2.6110606764850448e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-01-22,1.096113733554582e-09,-1.2756921035583235e-05,2.0542121165714744e-05,1.0,0.092428548068249,0.009839841145361638,0.009839842388652851,0.0013441606418710219,0.06854893942929706,8.507368608796989e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-02-20,6.695959584186879e-10,3.7034741129303176e-05,0.0002239414003459561,1.0,0.09595322149450371,0.07903439218032557,0.07903439218834607,0.015216225249119149,0.13532449000754299,5.1532256162946496e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-03-20,2.2580823304207766e-11,-2.941233120955802e-07,-0.00036049973825580395,1.0,0.08810908224499502,0.039030120384247996,0.039030120334794735,0.006528034353099759,0.09589384097813378,6.719607717490293e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-04-18,8.338065955598799e-07,-4.071477278941353e-05,0.000843049348243835,1.0,0.10072419425814895,0.00862426732223864,0.009528588207762034,0.0018514037580914574,0.06583048879688178,2.231380295145121e-18,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal
2024-05-17,6.85904835952721e-10,-5.399639051235691e-05,6.632028950417923e-06,1.0,0.06540852557015935,0.022278507434336015,0.022278507322819614,0.0047867614604325615,0.08265620049368437,7.682024037264674e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-06-17,1.331975885021554e-09,-2.283427687240807e-05,3.077966318978942e-05,1.0,0.034608388125501294,0.01667468316876618,0.016674683165816745,0.0034465149690531736,0.08640839457503825,2.5713269640855277e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-07-16,5.3512029093752415e-09,-1.7354410136778146e-06,4.811987334846224e-06,1.0,0.0419619839092023,0.0014939426805033345,0.0014939426785904341,7.853554286717598e-05,0.056383441461733796,2.4264235959999053e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-08-14,8.551021445165713e-09,1.7263201032049796e-05,-7.838253349077423e-05,0.8247048333834236,0.022988193335336943,0.01509119906499381,0.0150372540112375,0.00377357067506844,0.06148760420644765,2.5862350622176727e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-09-12,1.5825207189013346e-10,-0.00014236624614777686,3.7515883148958595e-05,0.2,-0.0290642589019011,0.024986669507640093,0.024986669281584245,0.0037896636010399457,0.03603710492042457,8.83521548663753e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-10-11,6.849891527845313e-08,-0.00022308750021951123,0.005485004700444038,0.2,-0.03488896436087422,0.09012375972562026,0.09560876442606431,0.008738382291452313,0.1087812120621874,5.937970428403087e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-11-11,5.6875786975628725e-08,3.9298820568647846e-07,-8.429735728898713e-11,0.2,-0.015704847386461527,0.02080696593361052,0.020806965849313304,0.001478366847614536,0.029371846046436403,1.935213454700261e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2024-12-10,2.0190534208917645e-07,1.8517688460606896e-05,0.000860707777673067,0.2,-0.026258916113344234,0.041578077817974415,0.04250277836221395,0.008171563163583796,0.05373549360083926,2.228550491214761e-16,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal
2025-01-08,1.1580989788838656e-07,0.000432879157348103,0.004201809064408216,0.3937064814516956,0.005748259258067823,0.032955545142698585,0.03717503851700023,0.011321941702211472,0.06811545902189141,1.1350185999408507e-15,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-03-07,0.0,-0.00012829073620344126,0.000205440481047231,0.3720889007777162,0.00488355603110865,0.015678594845377893,0.015678594834410718,0.004796817874741739,0.04610699388249223,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-04-07,4.275553232400507e-10,0.00028681393130808796,0.00045377154039555334,0.5199130282180043,0.010796521128720172,0.016569441346906775,0.01656944134690633,0.005500991477094569,0.05307461123393663,2.310968950856416e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-05-06,1.8770483616069654e-09,0.00014793616662656206,0.0002563265339780574,0.5040937703969542,0.010163750815878173,0.011468665908679426,0.011468665540825752,0.003624325885998932,0.05013806658759918,1.8312070491020966e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-06-04,0.0,2.131643284365045e-05,2.623841113874592e-05,1.0,0.039159869242514016,0.010337141783533992,0.0103371409840556,0.0006133067436254057,0.07828215666333754,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-07-03,0.0,3.0740647051292084e-05,0.00022520748430527454,0.43761410840715304,0.00750456433628612,0.017673766938729206,0.01767376668748673,0.005306323346464201,0.04077208940458293,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-08-01,0.0,-1.1057323139072765e-05,0.0002514243337599781,1.0,0.05700205192117049,0.013228878756186002,0.013228878756187301,0.004480046855500179,0.07256012645405549,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-09-01,0.0,0.00016888301093363018,0.0003038842619317583,1.0,0.07328219226734042,0.013383625196036437,0.013383625164069555,0.004343476516453707,0.07136727726177894,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-09-30,0.0,7.493528883881155e-05,0.005143872676769287,1.0,0.08393032994923383,0.023576094455993506,0.02883690264484342,0.00811436180363726,0.06605149184297773,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-10-29,0.0,0.00011308261573326253,0.005138217953582325,1.0,0.09340486542672495,0.030165085655000267,0.0351272530615416,0.00932819082931529,0.07694033093694647,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-11-27,0.0,-7.621580398215356e-07,0.0032792488328678426,1.0,0.045960335096045246,0.021836142655821702,0.02516538110709143,0.00601919353683473,0.071707622863255,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2025-12-26,0.0,-9.650784892356974e-06,0.000555326701924902,0.7753779482459039,0.021015117929836152,0.018966036469516057,0.019445751660521413,0.0034371149227636153,0.06589673741860194,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2026-01-26,0.0,0.0008499945339611914,0.006827115920984589,0.3038479442949129,0.002153917771796517,0.07039609366423354,0.07686781361950522,0.01606736554379694,0.08940719713459155,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2026-02-24,0.0,2.1310892893576125e-05,0.002686664535645117,0.2,-0.02828551413048547,0.05757868524890409,0.06026534978454921,0.004889105338544458,0.07053211111203644,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2026-03-25,0.0,-0.00026069420853503197,-1.3006403870585714e-09,0.2,-0.0129863031943524,0.038318491870697205,0.03831849057005682,0.006004151236422048,0.04200240923881098,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2026-04-23,0.0,-6.007176865914697e-05,0.00230242167375206,0.2,-0.01556768356457115,0.04666789504255957,0.048866161819324794,0.01123841558619643,0.05535169973206408,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal_inaccurate
2026-05-22,0.0,5.069323951118887e-05,0.0024686017095769813,0.7441232019750171,0.019764928079000686,0.024903059045696275,0.02779655531472242,0.005036162828568219,0.06776715725516154,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal_inaccurate
2026-06-22,0.0,0.00014648344099114436,-5.871212127583902e-10,1.0,0.04042467291703022,0.08371943616704511,0.08371943557992392,0.014075074999016446,0.14999999824860846,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2026-07-21,0.0,4.752174913535268e-05,0.00031580712881825596,0.7051520517276617,0.01820608206910647,0.021915387095034135,0.021915386095763024,0.003724111272376566,0.052429020787023925,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
2026-08-19,0.0,,0.000576329327044281,1.0,0.05135422401471909,0.04400518423665552,0.044005185014793294,0.006145345561292717,0.09531830388133879,0.0,ECOS,optimal,ECOS,optimal,ECOS,optimal
