date,portfolio_ret,benchmark_ret,sp500_ret,portfolio_cum,benchmark_cum,sp500_cum,drawdown,portfolio_local_gross_ret,portfolio_fx_effect,portfolio_usd_gross_ret,benchmark_local_ret,benchmark_fx_effect,benchmark_usd_gross_ret,active_local_gross_ret,active_fx_effect,active_usd_gross_ret
2025-09-02,-0.005578107688556546,-0.007307287706002237,-0.006922322011807647,4.546277988491971,3.2981529580201254,2.399723204099572,-0.015345712873489292,-0.0044979965,-0.0010801112,-0.0055781077,-0.0064415235,-0.0008657642,-0.0073072877,0.001943527,-0.000214347,0.00172918
2025-09-03,0.008132407918495661,0.00781670118548029,0.005100116280157385,4.583250175605266,3.323933634156977,2.411962071480672,-0.007338102551880943,0.0078155946,0.0003168134,0.0081324079,0.0075365226,0.0002801786,0.0078167012,0.000279072,3.66348e-05,0.0003157067
2025-09-04,0.00925936865836734,0.008587102114279875,0.00834643764364329,4.6256881786347215,3.3524765916945722,2.432093362509118,0.0,0.0095221727,-0.000262804,0.0092593687,0.0087862293,-0.0001991272,0.0085871021,0.0007359433,-6.36768e-05,0.0006722665
2025-09-05,0.001648771507624631,-0.001260180326801497,-0.003165141001033489,4.63331488150681,3.348251866647656,2.424395444089099,0.0,0.0006475567,0.0010012148,0.0016487715,-0.0020784124,0.0008182321,-0.0012601803,0.0027259691,0.0001829827,0.0029089518
2025-09-08,0.0057031876497236015,0.00407345666855795,0.002105993982874255,4.6597395457163,3.361890825541863,2.4295012063064583,0.0,0.0053176816,0.000385506,0.0057031876,0.0036779793,0.0003954773,0.0040734567,0.0016397023,-9.9713e-06,0.001629731
2025-09-09,0.006226676128399782,0.003973484733985621,0.00268815962679847,4.688754234710172,3.37524924741448,2.4360320933625093,0.0,0.0066382836,-0.0004116075,0.0062266761,0.0043850167,-0.0004115319,0.0039734847,0.0022532669,-7.55e-08,0.0022531914
2025-09-10,0.00885473317941025,0.006514429357874782,0.002983442890024168,4.73027190240236,3.3972370702019816,2.4432998559913224,0.0,0.0089807028,-0.0001259696,0.0088547332,0.0066251974,-0.000110768,0.0065144294,0.0023555054,-1.52015e-05,0.0023403038
2025-09-11,0.007152109819160516,0.0063445966022193,0.008485863528086224,4.7641033265228305,3.4187911689745185,2.4640333651274573,0.0,0.0067098362,0.0004422737,0.0071521098,0.0059640168,0.0003805798,0.0063445966,0.0007458193,6.16939e-05,0.0008075132
2025-09-12,0.0033455663992857177,0.0011075579969151198,-0.0004827346462299431,4.78004195053477,3.422577678473499,2.4628438908526435,0.0,0.003558382,-0.0002128156,0.0033455664,0.0012367134,-0.0001291554,0.001107558,0.0023216686,-8.36602e-05,0.0022380084
2025-09-15,0.011419628976629181,0.008194869674863995,0.004706657817319604,4.834628256102599,3.450625256500688,2.474435654304363,0.0,0.0110376593,0.0003819697,0.011419629,0.0078615336,0.0003333361,0.0081948697,0.0031761257,4.86336e-05,0.0032247593
2025-09-16,0.00142762189310655,0.0004971325826118862,-0.00128792734396721,4.841530277246043,3.452340674746078,2.471248760964297,0.0,0.0002116522,0.0012159697,0.0014276219,-0.0004776262,0.0009747588,0.0004971326,0.0006892784,0.0002412109,0.0009304893
2025-09-17,-0.0029036358298578273,-0.0016775309245774458,-0.0009702183823840915,4.8274722364616895,3.4465492665020148,2.4688511099889654,-0.0029036358298578646,-0.0023136255,-0.0005900103,-0.0029036358,-0.0012403381,-0.0004371929,-0.0016775309,-0.0010732874,-0.0001528175,-0.0012261049
2025-09-18,0.010502212872700553,0.005975963595271073,0.004789139969850087,4.878171377526062,3.4671457194479385,2.4806747835194223,0.0,0.0112028249,-0.000700612,0.0105022129,0.0064790667,-0.0005031031,0.0059759636,0.0047237582,-0.0001975089,0.0045262493
2025-09-19,0.00775320779441372,0.004887246612750772,0.004885433567150432,4.915992853872783,3.4840905156212236,2.492793955376012,0.0,0.0081834978,-0.00043029,0.0077532078,0.0053555647,-0.0004683181,0.0048872466,0.0028279331,3.80281e-05,0.0028659612
2025-09-22,0.010254965856060085,0.006807825455718643,0.004410025868950784,4.9664061927378835,3.5078095957234976,2.5037872412051843,0.0,0.0096820764,0.0005728895,0.0102549659,0.0063057497,0.0005020758,0.0068078255,0.0033763267,7.08137e-05,0.0034471404
2025-09-23,-0.005651308649355172,-0.005838463347145105,-0.005502147525676904,4.938339498464653,3.4873293779701022,2.490011034431166,-0.005651308649355147,-0.0057698168,0.0001185082,-0.0056513086,-0.0059295271,9.10637e-05,-0.0058384633,0.0001597103,2.74444e-05,0.0001871547
2025-09-24,-0.005585885981432159,-0.004095051817172752,-0.002846661819580154,4.910754497088626,3.473048583463766,2.4829228150891174,-0.011205627065026258,-0.0044380063,-0.0011478796,-0.005585886,-0.0032609544,-0.0008340974,-0.0040950518,-0.001177052,-0.0003137822,-0.0014908342
2025-09-25,-0.006707821280297674,-0.00544223647741993,-0.005009061505249379,4.877814033570737,3.454147431774988,2.470485701995549,-0.017838283001638144,-0.0057180934,-0.0009897279,-0.0067078213,-0.0046672599,-0.0007749766,-0.0054422365,-0.0010508335,-0.0002147513,-0.0012655848
2025-09-26,0.0010826780782757105,0.003701630162795472,0.00590183989631643,4.8830951358947905,3.466933408095189,2.4850661130748657,-0.01677491804132225,0.0006481154,0.0004345627,0.0010826781,0.0033462548,0.0003553754,0.0037016302,-0.0026981394,7.91873e-05,-0.0026189521
