date,hist_rows,hist_has_nan,v_base,v_rmt,realized,n_replaced,replaced_share,lambda_plus,sigma_bar_sq,q,floor_ref,floor_share,exq_base,exq_rmt
2021-04-27,126,True,4.281354799671298e-06,3.6846115637112506e-06,2.606164532260789e-06,194,0.97,0.0024896807025665047,0.00048749738430513696,1.5873015873015872,3.455734091520448e-08,6.491155532952919e-06,0.10511414884184189,0.05359602033789779
2021-05-26,126,True,4.1162211853541984e-06,3.3981917806050498e-06,3.2316168238076233e-06,193,0.965,0.002132933492208601,0.00041764371522686817,1.5873015873015872,2.564966842090597e-08,3.5476934044599556e-06,0.02704607129396064,0.0012421803448419144
2021-06-24,126,True,4.280586879451605e-06,3.4608681772320047e-06,1.6567510511501569e-06,193,0.965,0.0019972975239094075,0.00039108521730567335,1.5873015873015872,2.587582328163064e-08,4.860307769419088e-06,0.3362699309803383,0.21537065598447258
2021-07-23,126,True,4.198901649350659e-06,3.385955895054066e-06,3.6856750301051574e-06,193,0.965,0.0017998434631567597,0.0003524222923618784,1.5873015873015872,2.447780455454231e-08,3.76093444502019e-06,0.008140508555211756,0.0037008881316491493
2021-08-23,126,True,4.484560436436127e-06,3.574162116934985e-06,1.6004014035547347e-06,194,0.97,0.0016007697285395348,0.00031344222362868316,1.5873015873015872,2.2156975622102435e-08,2.3062475762365e-06,0.3872551877625008,0.2512459741253754
2021-09-21,126,True,3.5033613092320514e-06,2.875185237216485e-06,3.897982614710897e-06,193,0.965,0.0013043299480988665,0.000255397182985583,1.5873015873015872,1.8988924158265894e-08,2.8078202103688247e-06,0.0059045078267072615,0.05139065107465557
2021-10-20,126,True,3.982549984755236e-06,3.301181609191032e-06,1.0198728396411246e-05,193,0.965,0.0013389131861181467,0.0002621688296701645,1.5873015873015872,2.043661098662771e-08,3.226433807677767e-06,0.6205131020353161,0.9614349714378196
2021-11-18,126,True,4.187420908927221e-06,3.6204958631695546e-06,8.925123577180632e-06,193,0.965,0.0013794184042902095,0.0002701000426523088,1.5873015873015872,2.0280127505594652e-08,3.581525465982171e-06,0.3746278872447739,0.5629068966509898
2021-12-17,126,True,3.5465591820521836e-06,2.987725109923116e-06,5.092435618912944e-06,194,0.97,0.0016106579654681227,0.00031537841152342276,1.5873015873015872,2.319856016964853e-08,4.294220178867892e-06,0.07410228839369637,0.17120856709778254
2022-01-17,126,True,3.4932597354298487e-06,3.105986914096602e-06,7.867169045163395e-06,193,0.965,0.0017000624800140856,0.0003328844583595886,1.5873015873015872,2.370362982309575e-08,3.56059097106007e-06,0.4402366939535196,0.6035379905309421
2022-02-15,126,True,3.865675529574e-06,3.5462870075313923e-06,5.392861888856007e-06,193,0.965,0.0020973049008596923,0.00041066738084344107,1.5873015873015872,2.7619209519041512e-08,3.760152681683428e-06,0.06212349680013185,0.10153148842170179
2022-03-16,126,True,4.326432855063658e-06,3.848644769956773e-06,4.17306510762673e-06,193,0.965,0.0026960695932025124,0.000527909813188477,1.5873015873015872,3.636016041371794e-08,5.169989197830085e-06,0.0006435711435732738,0.003364970085966368
2022-04-14,126,True,4.550916813487513e-06,4.197567455098999e-06,7.325084892479562e-06,194,0.97,0.00286081565611888,0.0005601682769599587,1.5873015873015872,3.7365860359640594e-08,6.6370156994343335e-06,0.13360840626756,0.18827897741182098
2022-05-13,126,True,3.7789505777195692e-06,3.4544382843049538e-06,7.650112747522254e-06,195,0.975,0.0031807653095637803,0.0006228167197915781,1.5873015873015872,4.356529969647299e-08,1.0108692756229487e-05,0.31912733568725216,0.41951450184761807
