,spearman_ic
2019-08-20,-0.08429567882136718
2019-08-21,-0.13846058700924566
2019-08-22,-0.2147691280303367
2019-08-23,0.021999478063644575
2019-08-26,-0.2107645936223811
2019-08-27,-0.00963960279025952
2019-08-28,-0.10225311777547239
2019-08-29,-0.2297107669670401
2019-08-30,-0.1869268183546775
2019-09-03,-0.177098802831592
2019-09-04,-0.10242421690582246
2019-09-05,-0.13325566912658596
2019-09-06,-0.14756179700770328
2019-09-09,-0.18763973139780288
2019-09-10,-0.11404266261435714
2019-09-11,-0.14413472216467915
2019-09-12,-0.17278975270950134
2019-09-13,-0.08687965722407592
2019-09-16,-0.1350287857095592
2019-09-17,-0.1481229614173634
2019-09-18,-0.16878827364315904
2019-09-19,-0.15016189272070196
2019-09-20,-0.08233127200893604
2019-09-23,-0.16416248644047984
2019-09-24,-0.035058008119292494
2019-09-25,-0.21609412784334545
2019-09-26,-0.1375911988759927
2019-09-27,-0.023168655454370187
2019-09-30,-0.11348862733512827
2019-10-01,-0.02936285135192522
2019-10-02,-0.015281800302994624
2019-10-03,-0.07209995139288244
2019-10-04,-0.08655986480187397
2019-10-07,-0.10129374050886653
2019-10-08,-0.03357616743679618
2019-10-09,-0.07505752207464829
2019-10-10,0.0029107221103604553
2019-10-11,-0.003625672047894759
2019-10-14,-0.013264256390949814
2019-10-15,-0.044270881530881254
2019-10-16,0.027777129054573496
2019-10-17,0.04779776419994292
2019-10-18,0.041420247805584225
2019-10-21,0.03430333874078406
2019-10-22,0.12258030552938573
2019-10-23,0.0963644560392568
2019-10-24,0.09901445566527425
2019-10-25,0.09881687690760807
2019-10-28,0.09478586287233631
2019-10-29,0.1824049127668537
2019-10-30,0.19993748139171558
2019-10-31,0.15051223855903786
2019-11-01,0.12212098584017207
2019-11-04,-0.1593116224056139
2019-11-05,-0.06172401127379487
2019-11-06,-0.0526302961851285
2019-11-07,0.0013351842850533788
2019-11-08,0.027003109179180237
2019-11-11,0.06266098270190251
2019-11-12,0.09414933336954581
2019-11-13,0.07644770250874278
2019-11-14,0.024881683652280013
2019-11-15,0.05995598692684394
2019-11-18,-0.020306818809824042
2019-11-19,-0.022145116013883043
2019-11-20,-0.04064113569416864
2019-11-21,-0.04504082761745666
2019-11-22,-0.0672032572338156
2019-11-25,-0.06531912990555568
2019-11-26,-0.07212337567858515
2019-11-27,-0.11482381162018164
2019-11-29,-0.20313336871932616
2019-12-02,-0.12046091689689442
2019-12-03,-0.08009068815911344
2019-12-04,-0.002431033477057525
2019-12-05,-0.05588729034500699
2019-12-06,0.03191304315190513
2019-12-09,0.04017672376893268
2019-12-10,0.14326598669927065
2019-12-11,0.18185902506526055
2019-12-12,0.08860694368284826
2019-12-13,0.24879748602591528
2019-12-16,0.2917922532096021
2019-12-17,0.26179694614370425
2019-12-18,0.3411441678435584
2019-12-19,0.29888573798869966
2019-12-20,0.27518545309359876
2019-12-23,0.3099155212130536
2019-12-24,0.29566540792818186
2019-12-26,0.17357293860973477
2019-12-27,0.24395578801588957
2019-12-30,0.30069450022382915
2019-12-31,0.22238202088371126
2020-01-02,0.11611723956985197
2020-01-03,0.24568409292186633
2020-01-06,0.2809121817243045
2020-01-07,0.27791183625995114
2020-01-08,0.17478387233584344
2020-01-09,0.1932320249975192
2020-01-10,0.28269853812093576
2020-01-13,0.19492162890972634
2020-01-14,0.25331226248330785
2020-01-15,0.26990378589124425
2020-01-16,0.21462349008009832
2020-01-17,0.20649220759965115
2020-01-21,0.2747617790565415
2020-01-22,0.2802746337743095
2020-01-23,0.1772811048811912
2020-01-24,0.2046233569794582
2020-01-27,0.10877321677845615
2020-01-28,0.03539409569676588
2020-01-29,-0.01108274247898617
2020-01-30,0.01282632409302994
2020-01-31,0.311062292765281
2020-02-03,-0.001928882569448703
2020-02-04,0.14546463195598527
2020-02-05,-0.0010499883469385497
2020-02-06,0.057589467548672266
2020-02-07,-0.07786106604121526
2020-02-10,0.12555253480822334
2020-02-11,-0.023563123552975
2020-02-12,-0.009108725290997466
2020-02-13,0.30321443309637375
2020-02-14,0.0129430668295267
2020-02-18,0.044600571935816534
2020-02-19,0.1328780112190177
2020-02-20,0.011445993240778234
2020-02-21,-0.01634865463957763
2020-02-24,0.06399938671029325
2020-02-25,-0.007199192652287689
2020-02-26,0.19121499714465692
2020-02-27,0.11737260619269432
2020-02-28,0.10359240025435727
2020-03-02,-0.006996527588232625
2020-03-03,0.06273145703818996
2020-03-04,0.07688542216501047
2020-03-05,0.13772567807782227
2020-03-06,0.2838726496967065
2020-03-09,0.30274901634123225
2020-03-10,0.17074582567509541
2020-03-11,0.3376349046287007
2020-03-12,0.3142734277223735
2020-03-13,-0.18990327552403924
2020-03-16,0.21264759148153548
2020-03-17,0.012519405188084958
2020-03-18,0.08687813376555466
2020-03-19,0.04102796367096645
2020-03-20,0.19493833118578913
2020-03-23,0.21897400041575685
2020-03-24,0.3033295142634
2020-03-25,0.33738946603353853
2020-03-26,0.3371267143424521
2020-03-27,0.2862934278738868
2020-03-30,0.2331208366207262
2020-03-31,0.28145288993693346
2020-04-01,0.2524269754111375
2020-04-02,0.05252080411248103
2020-04-03,0.21242659490414875
2020-04-06,0.15821114422590077
2020-04-07,0.22664064665800068
2020-04-08,0.1022256840937447
2020-04-09,0.2011343826918746
2020-04-13,0.20281477141393922
2020-04-14,0.17484597415693304
2020-04-15,0.14311717983213135
2020-04-16,0.08059449836244036
2020-04-17,-0.05512184217075558
2020-04-20,0.02000884680145653
2020-04-21,-0.024361562800307515
2020-04-22,-0.030466975157142244
2020-04-23,-0.00040125645848088125
2020-04-24,-0.1334422144626685
2020-04-27,-0.1602459422057099
2020-04-28,-0.11386619505931951
2020-04-29,-0.1575450992415188
2020-04-30,-0.12145238632638572
2020-05-01,0.005941447154257516
2020-05-04,-0.2699956941046748
2020-05-05,-0.3331222970969018
2020-05-06,-0.35508039481595327
2020-05-07,-0.15835372266292444
2020-05-08,-0.1872370587516967
2020-05-11,-0.2092837587851843
2020-05-12,-0.14600235634704592
2020-05-13,-0.24613824792098665
2020-05-14,-0.2762477585681624
2020-05-15,-0.18400256506607415
2020-05-18,-0.2201085174075023
2020-05-19,-0.2448377288918494
2020-05-20,-0.23392946004213183
2020-05-21,-0.29321968466101495
2020-05-22,-0.3227262922030621
2020-05-26,-0.31865160415640725
2020-05-27,-0.2819162698572603
2020-05-28,-0.2752598936830699
2020-05-29,-0.3739272273556669
2020-06-01,-0.22097111695149546
2020-06-02,-0.15829567287070767
2020-06-03,-0.10151686557825564
2020-06-04,0.003363832696351144
2020-06-05,-0.030721579508970216
2020-06-08,-0.05438450796786177
2020-06-09,-0.024363599635122135
2020-06-10,0.02744329387483327
2020-06-11,0.14404088442056326
2020-06-12,-0.09189995000100955
2020-06-15,-0.0702270091560054
2020-06-16,-0.11189861262839296
2020-06-17,-0.0012791322635837229
2020-06-18,-0.04372167771330638
2020-06-19,0.0021590449035011885
2020-06-22,-0.0705702158222695
2020-06-23,0.09843309766891527
2020-06-24,0.03323401525280862
2020-06-25,-0.05864760323486931
2020-06-26,0.12258792173553847
2020-06-29,-0.006713407548999922
2020-06-30,-0.04270122347117987
2020-07-01,-0.020756365178423452
2020-07-02,0.23484501729130522
2020-07-06,0.16689009737101262
2020-07-07,0.18355751665907885
2020-07-08,0.17575134723203328
2020-07-09,0.1610056815915646
2020-07-10,0.1448607104334493
2020-07-13,0.1607256168045538
2020-07-14,0.060777114033558455
2020-07-15,0.10471265940240033
2020-07-16,0.10828628608465772
2020-07-17,0.09359154131455458
2020-07-20,0.10279396100702475
2020-07-21,0.1487164387375321
2020-07-22,0.10115838265088187
2020-07-23,0.19599748528939348
2020-07-24,0.1898319863055274
2020-07-27,0.1938394588032996
2020-07-28,0.1980872778091975
2020-07-29,0.19241978493750683
2020-07-30,0.17255249815566667
2020-07-31,0.08635263038338173
2020-08-03,0.22270242654392566
2020-08-04,0.26500239355662464
2020-08-05,0.17966410691092555
2020-08-06,0.13545969934655333
2020-08-07,0.016042110999976752
2020-08-10,-0.05228962336102124
2020-08-11,0.16699397594655843
2020-08-12,0.09687593745313541
2020-08-13,0.07879291796890564
2020-08-14,0.08650335615966388
2020-08-17,0.09643801796799129
2020-08-18,0.0781553886719284
2020-08-19,0.04045357625324255
2020-08-20,-0.0412377576568727
2020-08-21,0.049315844531670545
2020-08-24,0.16314639498173414
2020-08-25,0.006863114907874768
2020-08-26,0.044417256802500395
2020-08-27,0.10286626864294388
2020-08-28,0.04651112299193362
2020-08-31,-0.032414189239922564
2020-09-01,0.01449615337567732
2020-09-02,-0.060655439216332284
2020-09-03,0.09437338644624406
2020-09-04,0.1584760832473192
2020-09-08,0.3525714519551898
2020-09-09,0.2983716008717039
2020-09-10,0.32066827961922534
2020-09-11,0.3713343097812762
2020-09-14,0.31507526967671196
2020-09-15,0.3038037048471894
2020-09-16,0.3791810216543763
2020-09-17,0.33904211162629494
2020-09-18,0.2570126569923606
2020-09-21,0.16029289492565935
2020-09-22,0.0861437591073055
2020-09-23,0.2692679886835853
2020-09-24,0.18573946073658099
2020-09-25,0.05192068934798975
2020-09-28,0.07817789534722909
2020-09-29,0.1190907834445584
2020-09-30,0.0853107142906675
2020-10-01,0.05813186335370517
2020-10-02,0.04797441958702117
2020-10-05,-0.04051367835634875
2020-10-06,0.018155896077044528
2020-10-07,-0.0750565232653275
2020-10-08,-0.06949712026529462
2020-10-09,-0.15023932716300598
2020-10-12,-0.2316424705961673
2020-10-13,-0.24272766965375253
2020-10-14,-0.2590738827978316
2020-10-15,-0.27084038623479445
2020-10-16,-0.21798583124272514
2020-10-19,-0.1824337596671348
2020-10-20,-0.22297289782839302
2020-10-21,-0.17272237168246482
